# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3800, i.e. number of multipoles equal to 3799
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               phiphi           Tphi             
   2 8.3525668293e-11 4.9615758884e-09 2.6013402166e-10
   3 8.1149373781e-11 3.0435866347e-09 1.8569418132e-10
   4 7.8139857075e-11 2.1172697026e-09 1.4148821716e-10
   5 7.6180426679e-11 1.5811862392e-09 1.1230885549e-10
   6 7.5010338312e-11 1.2359443632e-09 9.1876409984e-11
   7 7.4390617320e-11 9.9767898957e-10 7.6948515752e-11
   8 7.4153819736e-11 8.2500424623e-10 6.5474892105e-11
   9 7.4228758100e-11 6.9516126014e-10 5.6485186431e-11
  10 7.4546568314e-11 5.9440897879e-10 4.9300102490e-11
  11 7.5047106878e-11 5.1194319388e-10 4.3990767348e-11
  12 7.5687180440e-11 4.4815294187e-10 3.9108918395e-11
  13 7.6453470928e-11 3.9567967784e-10 3.5057842624e-11
  14 7.7337905499e-11 3.5196304363e-10 3.1575447088e-11
  15 7.8289355445e-11 3.1491619628e-10 2.8489725792e-11
  16 7.9326828231e-11 2.8370610491e-10 2.5833766467e-11
  17 8.0420624395e-11 2.5671301247e-10 2.3545192187e-11
  18 8.1580268982e-11 2.3340080442e-10 2.1593530195e-11
  19 8.2788572670e-11 2.1299361840e-10 1.9899167776e-11
  20 8.4046649032e-11 1.9516293972e-10 1.8396440093e-11
  21 8.5336615391e-11 1.7938240647e-10 1.7002491379e-11
  22 8.6662555388e-11 1.6539524598e-10 1.5735460926e-11
  23 8.8020140899e-11 1.5285091694e-10 1.4628277419e-11
  24 8.9419394036e-11 1.4168624796e-10 1.3670584563e-11
  25 9.0856624961e-11 1.3174180046e-10 1.2813977320e-11
  26 9.2312195507e-11 1.2269794385e-10 1.1995579586e-11
  27 9.3791522961e-11 1.1449312279e-10 1.1219779832e-11
  28 9.5297583116e-11 1.0705262442e-10 1.0509383098e-11
  29 9.6824426074e-11 1.0022781045e-10 9.8811039913e-12
  30 9.8377828713e-11 9.4005839997e-11 9.3326881689e-12
  31 9.9960407261e-11 8.8367411925e-11 8.8491000889e-12
  32 1.0156471638e-10 8.3223603881e-11 8.4044262101e-12
  33 1.0317848439e-10 7.8450857637e-11 7.9701216900e-12
  34 1.0480611348e-10 7.4032262572e-11 7.5464722494e-12
  35 1.0645360128e-10 6.9959782659e-11 7.1418468931e-12
  36 1.0812214331e-10 6.6193216476e-11 6.7643409337e-12
  37 1.0981004076e-10 6.2677183169e-11 6.4204221158e-12
  38 1.1152073317e-10 5.9407253143e-11 6.1105189206e-12
  39 1.1325663624e-10 5.6382183711e-11 5.8316955003e-12
  40 1.1501648985e-10 5.3584319544e-11 5.5785741785e-12
  41 1.1679496265e-10 5.0978099084e-11 5.3431313855e-12
  42 1.1858545395e-10 4.8522084503e-11 5.1169673365e-12
  43 1.2039050813e-10 4.6213190630e-11 4.8994655756e-12
  44 1.2221405456e-10 4.4054040738e-11 4.6918908085e-12
  45 1.2405832122e-10 4.2040090991e-11 4.4951028399e-12
  46 1.2592365173e-10 4.0159035426e-11 4.3095168763e-12
  47 1.2780832238e-10 3.8390210932e-11 4.1350638301e-12
  48 1.2970995226e-10 3.6711093695e-11 3.9713671195e-12
  49 1.3163063040e-10 3.5120342375e-11 3.8184246281e-12
  50 1.3357291955e-10 3.3620228207e-11 3.6760507781e-12
  51 1.3553829012e-10 3.2209883197e-11 3.5436488728e-12
  52 1.3752701853e-10 3.0885066908e-11 3.4201824457e-12
  53 1.3953808549e-10 2.9637933253e-11 3.3041466096e-12
  54 1.4156907435e-10 2.8456797285e-11 3.1935394065e-12
  55 1.4361739199e-10 2.7329542479e-11 3.0863984307e-12
  56 1.4568451969e-10 2.6255368070e-11 2.9826324450e-12
  57 1.4777264017e-10 2.5235551522e-11 2.8825945933e-12
  58 1.4988335845e-10 2.4269974331e-11 2.7865505094e-12
  59 1.5201765169e-10 2.3357030651e-11 2.6946716897e-12
  60 1.5417581903e-10 2.2493535922e-11 2.6070288666e-12
  61 1.5635743148e-10 2.1674635497e-11 2.5235853811e-12
  62 1.5856128171e-10 2.0893713271e-11 2.4441905563e-12
  63 1.6078612158e-10 2.0144197215e-11 2.3686454050e-12
  64 1.6303317500e-10 1.9425640486e-11 2.2969313785e-12
  65 1.6530408541e-10 1.8738807804e-11 2.2290198524e-12
  66 1.6760015027e-10 1.8083861240e-11 2.1647998028e-12
  67 1.6992229434e-10 1.7460325300e-11 2.1040733316e-12
  68 1.7227104293e-10 1.6867052011e-11 2.0465511929e-12
  69 1.7464649527e-10 1.6302185996e-11 1.9918483184e-12
  70 1.7704829773e-10 1.5763129567e-11 1.9394793438e-12
  71 1.7947561713e-10 1.5246507800e-11 1.8888541339e-12
  72 1.8192758094e-10 1.4749045675e-11 1.8394241720e-12
  73 1.8440475502e-10 1.4270471993e-11 1.7911641987e-12
  74 1.8690790259e-10 1.3811112356e-11 1.7441753682e-12
  75 1.8943752667e-10 1.3371012656e-11 1.6985415652e-12
  76 1.9199385402e-10 1.2949924975e-11 1.6543283746e-12
  77 1.9457681909e-10 1.2547293495e-11 1.6115820520e-12
  78 1.9718604798e-10 1.2162240402e-11 1.5703284938e-12
  79 1.9982084239e-10 1.1793551793e-11 1.5305722075e-12
  80 2.0248016355e-10 1.1439663581e-11 1.4922952820e-12
  81 2.0516261618e-10 1.1098647404e-11 1.4554563573e-12
  82 2.0786690976e-10 1.0768693058e-11 1.4200079934e-12
  83 2.1059336750e-10 1.0449680881e-11 1.3859544235e-12
  84 2.1334264520e-10 1.0141851554e-11 1.3533017591e-12
  85 2.1611526909e-10 9.8453280129e-12 1.3220397678e-12
  86 2.1891162827e-10 9.5601101121e-12 1.2921411673e-12
  87 2.2173196699e-10 9.2860692817e-12 1.2635609209e-12
  88 2.2457637710e-10 9.0229431903e-12 1.2362355314e-12
  89 2.2744479033e-10 8.7703304052e-12 1.2100823360e-12
  90 2.3033697074e-10 8.5276850531e-12 1.1849988008e-12
  91 2.3325250700e-10 8.2943114807e-12 1.1608618155e-12
  92 2.3619080483e-10 8.0693589156e-12 1.1375269877e-12
  93 2.3915107931e-10 7.8518161268e-12 1.1148279379e-12
  94 2.4213256066e-10 7.6407502545e-12 1.0926127326e-12
  95 2.4513516315e-10 7.4360755386e-12 1.0708609167e-12
  96 2.4815890206e-10 7.2378896802e-12 1.0495826790e-12
  97 2.5120368453e-10 7.0462378399e-12 1.0287830628e-12
  98 2.5426930473e-10 6.8611105803e-12 1.0084617589e-12
  99 2.5735543912e-10 6.6824418072e-12 9.8861289991e-13
 100 2.6046164167e-10 6.5101067118e-12 9.6922485355e-13
 101 2.6358733910e-10 6.3439197123e-12 9.5028001640e-13
 102 2.6673182611e-10 6.1836323958e-12 9.3175460758e-13
 103 2.6989426062e-10 6.0289314599e-12 9.1361846234e-13
 104 2.7307365897e-10 5.8794366547e-12 8.9583482581e-13
 105 2.7626889120e-10 5.7346987248e-12 8.7836014656e-13
 106 2.7947867623e-10 5.5941973504e-12 8.6114387032e-13
 107 2.8270182648e-10 5.4574605549e-12 8.4414299964e-13
 108 2.8593802832e-10 5.3244452034e-12 8.2736839360e-13
 109 2.8918715579e-10 5.1952029032e-12 8.1084419644e-13
 110 2.9244902819e-10 5.0697622199e-12 7.9459356284e-13
 111 2.9572340799e-10 4.9481278798e-12 7.7863860491e-13
 112 2.9900999860e-10 4.8302799737e-12 7.6300033919e-13
 113 3.0230844219e-10 4.7161731596e-12 7.4769863361e-13
 114 3.0561831752e-10 4.6057358661e-12 7.3275215455e-13
 115 3.0893913778e-10 4.4988694954e-12 7.1817831373e-13
 116 3.1227034837e-10 4.3954476262e-12 7.0399321531e-13
 117 3.1561132478e-10 4.2953152172e-12 6.9021160278e-13
 118 3.1896137034e-10 4.1982878100e-12 6.7684680603e-13
 119 3.2231971408e-10 4.1041507323e-12 6.6391068827e-13
 120 3.2568550858e-10 4.0126583009e-12 6.5141359309e-13
 121 3.2905782771e-10 3.9235330248e-12 6.3936429138e-13
 122 3.3243577186e-10 3.8365276824e-12 6.2776849606e-13
 123 3.3581880174e-10 3.7516213912e-12 6.1662432413e-13
 124 3.3920643926e-10 3.6688448463e-12 6.0592620682e-13
 125 3.4259816241e-10 3.5882191885e-12 5.9566621110e-13
 126 3.4599340388e-10 3.5097557105e-12 5.8583397518e-13
 127 3.4939154978e-10 3.4334555628e-12 5.7641664405e-13
 128 3.5279193829e-10 3.3593094591e-12 5.6739880504e-13
 129 3.5619385838e-10 3.2872973831e-12 5.5876242334e-13
 130 3.5959654843e-10 3.2173882935e-12 5.5048677752e-13
 131 3.6299919496e-10 3.1495398306e-12 5.4254839511e-13
 132 3.6640093131e-10 3.0836980217e-12 5.3492098810e-13
 133 3.6980083626e-10 3.0197969873e-12 5.2757538846e-13
 134 3.7319793277e-10 2.9577586470e-12 5.2047948375e-13
 135 3.7659118666e-10 2.8974924253e-12 5.1359815256e-13
 136 3.7997950522e-10 2.8388949575e-12 5.0689320012e-13
 137 3.8336173599e-10 2.7818497956e-12 5.0032329380e-13
 138 3.8673666534e-10 2.7262271144e-12 4.9384389866e-13
 139 3.9010301723e-10 2.6718834171e-12 4.8740721299e-13
 140 3.9345958419e-10 2.6186923868e-12 4.8097208676e-13
