# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               phiphi           Tphi             
   2 8.3525888171e-11 4.9615758884e-09 2.6013402166e-10
   3 8.1149812420e-11 3.0435866347e-09 1.8569418132e-10
   4 7.8140585686e-11 2.1172697026e-09 1.4148821716e-10
   5 7.6181515073e-11 1.5811862392e-09 1.1230885549e-10
   6 7.5011854622e-11 1.2359443632e-09 9.1876409984e-11
   7 7.4392627773e-11 9.9767898957e-10 7.6948515752e-11
   8 7.4156388472e-11 8.2500424623e-10 6.5474892105e-11
   9 7.4231947048e-11 6.9516126014e-10 5.6485186431e-11
  10 7.4550437126e-11 5.9440897879e-10 4.9300102490e-11
  11 7.5051712913e-11 5.1194319388e-10 4.3990767348e-11
  12 7.5692578806e-11 4.4815294187e-10 3.9108918395e-11
  13 7.6459714568e-11 3.9567967784e-10 3.5057842624e-11
  14 7.7345045323e-11 3.5196304363e-10 3.1575447088e-11
  15 7.8297440497e-11 3.1491619628e-10 2.8489725792e-11
  16 7.9335905874e-11 2.8370610491e-10 2.5833766467e-11
  17 8.0430740533e-11 2.5671301247e-10 2.3545192187e-11
  18 8.1591468260e-11 2.3340080442e-10 2.1593530195e-11
  19 8.2800898710e-11 2.1299361840e-10 1.9899167776e-11
  20 8.4060144609e-11 1.9516293972e-10 1.8396440093e-11
  21 8.5351322646e-11 1.7938240647e-10 1.7002491379e-11
  22 8.6678515966e-11 1.6539524598e-10 1.5735460926e-11
  23 8.8037396110e-11 1.5285091694e-10 1.4628277419e-11
  24 8.9437984844e-11 1.4168624796e-10 1.3670584563e-11
  25 9.0876592085e-11 1.3174180046e-10 1.2813977320e-11
  26 9.2333579517e-11 1.2269794385e-10 1.1995579586e-11
  27 9.3814364101e-11 1.1449312279e-10 1.1219779832e-11
  28 9.5321921279e-11 1.0705262442e-10 1.0509383098e-11
  29 9.6850300766e-11 1.0022781045e-10 9.8811039913e-12
  30 9.8405278790e-11 9.4005839997e-11 9.3326881689e-12
  31 9.9989470790e-11 8.8367411925e-11 8.8491000889e-12
  32 1.0159543052e-10 8.3223603881e-11 8.4044262101e-12
  33 1.0321088529e-10 7.8450857637e-11 7.9701216900e-12
  34 1.0484023601e-10 7.4032262572e-11 7.5464722494e-12
  35 1.0648947889e-10 6.9959782659e-11 7.1418468931e-12
  36 1.0815980781e-10 6.6193216476e-11 6.7643409337e-12
  37 1.0984952221e-10 6.2677183169e-11 6.4204221158e-12
  38 1.1156206000e-10 5.9407253143e-11 6.1105189206e-12
  39 1.1329983518e-10 5.6382183711e-11 5.8316955003e-12
  40 1.1506158581e-10 5.3584319544e-11 5.5785741785e-12
  41 1.1684197854e-10 5.0978099084e-11 5.3431313855e-12
  42 1.1863441069e-10 4.8522084503e-11 5.1169673365e-12
  43 1.2044142524e-10 4.6213190630e-11 4.8994655756e-12
  44 1.2226695032e-10 4.4054040738e-11 4.6918908085e-12
  45 1.2411321269e-10 4.2040090991e-11 4.4951028399e-12
  46 1.2598055476e-10 4.0159035426e-11 4.3095168763e-12
  47 1.2786725166e-10 3.8390210932e-11 4.1350638301e-12
  48 1.2977092139e-10 3.6711093695e-11 3.9713671195e-12
  49 1.3169365237e-10 3.5120342375e-11 3.8184246281e-12
  50 1.3363800689e-10 3.3620228207e-11 3.6760507781e-12
  51 1.3560545510e-10 3.2209883197e-11 3.5436488728e-12
  52 1.3759627322e-10 3.0885066908e-11 3.4201824457e-12
  53 1.3960944196e-10 2.9637933253e-11 3.3041466096e-12
  54 1.4164254478e-10 2.8456797285e-11 3.1935394065e-12
  55 1.4369298862e-10 2.7329542479e-11 3.0863984307e-12
  56 1.4576225414e-10 2.6255368070e-11 2.9826324450e-12
  57 1.4785252320e-10 2.5235551522e-11 2.8825945933e-12
  58 1.4996539997e-10 2.4269974331e-11 2.7865505094e-12
  59 1.5210186071e-10 2.3357030651e-11 2.6946716897e-12
  60 1.5426220370e-10 2.2493535922e-11 2.6070288666e-12
  61 1.5644599900e-10 2.1674635497e-11 2.5235853811e-12
  62 1.5865203834e-10 2.0893713271e-11 2.4441905563e-12
  63 1.6087907241e-10 2.0144197215e-11 2.3686454050e-12
  64 1.6312832309e-10 1.9425640486e-11 2.2969313785e-12
  65 1.6540143138e-10 1.8738807804e-11 2.2290198524e-12
  66 1.6769969215e-10 1.8083861240e-11 2.1647998028e-12
  67 1.7002402732e-10 1.7460325300e-11 2.1040733316e-12
  68 1.7237495921e-10 1.6867052011e-11 2.0465511929e-12
  69 1.7475258382e-10 1.6302185996e-11 1.9918483184e-12
  70 1.7715654407e-10 1.5763129567e-11 1.9394793438e-12
  71 1.7958600309e-10 1.5246507800e-11 1.8888541339e-12
  72 1.8204008481e-10 1.4749045675e-11 1.8394241720e-12
  73 1.8451935285e-10 1.4270471993e-11 1.7911641987e-12
  74 1.8702456853e-10 1.3811112356e-11 1.7441753682e-12
  75 1.8955623296e-10 1.3371012656e-11 1.6985415652e-12
  76 1.9211457098e-10 1.2949924975e-11 1.6543283746e-12
  77 1.9469951514e-10 1.2547293495e-11 1.6115820520e-12
  78 1.9731068965e-10 1.2162240402e-11 1.5703284938e-12
  79 1.9994739427e-10 1.1793551793e-11 1.5305722075e-12
  80 2.0260858834e-10 1.1439663581e-11 1.4922952820e-12
  81 2.0529287467e-10 1.1098647404e-11 1.4554563573e-12
  82 2.0799896090e-10 1.0768693058e-11 1.4200079934e-12
  83 2.1072716874e-10 1.0449680881e-11 1.3859544235e-12
  84 2.1347815257e-10 1.0141851554e-11 1.3533017591e-12
  85 2.1625243727e-10 9.8453280129e-12 1.3220397678e-12
  86 2.1905041063e-10 9.5601101121e-12 1.2921411673e-12
  87 2.2187231565e-10 9.2860692817e-12 1.2635609209e-12
  88 2.2471824299e-10 9.0229431903e-12 1.2362355314e-12
  89 2.2758812325e-10 8.7703304052e-12 1.2100823360e-12
  90 2.3048171939e-10 8.5276850531e-12 1.1849988008e-12
  91 2.3339861910e-10 8.2943114807e-12 1.1608618155e-12
